model,evaluation_mode,description,n_timepoints_per_patient,k,half_life_min,pct_change_vs_endpoint
delavenne,reversal_endpoint,"One point per patient: residual heparin at the reversal timepoint t = time to CPB + time on CPB. This is what the submitted analysis calibrated against; with it, the manuscript may claim agreement in residual amount at reversal, NOT reproduction of entire trajectories.",1,0.010491854323817322,66.06526922380608,0.0
delavenne,trajectory_cpb,"A grid of timepoints per patient spanning CPB onset to reversal, the window in which the nomogram is actually read. Supports a trajectory claim over that window.",13,0.013946050072193364,49.70204301374135,32.92264305018752
delavenne,trajectory_full,"A grid of timepoints per patient spanning induction (t = 0) to reversal, including the pre-bypass distribution phase. This is the only mode that supports an unqualified 'reproduces the trajectory' claim, and it is where a mono-exponential approximation of a biexponential model is worst (R2).",13,0.016243778863499456,42.671547451158666,54.82276404300448
jia,reversal_endpoint,"One point per patient: residual heparin at the reversal timepoint t = time to CPB + time on CPB. This is what the submitted analysis calibrated against; with it, the manuscript may claim agreement in residual amount at reversal, NOT reproduction of entire trajectories.",1,0.007150565642554752,96.93599292828782,0.0
jia,trajectory_cpb,"A grid of timepoints per patient spanning CPB onset to reversal, the window in which the nomogram is actually read. Supports a trajectory claim over that window.",13,0.006976028337577691,99.36129084025897,-2.440888087766748
jia,trajectory_full,"A grid of timepoints per patient spanning induction (t = 0) to reversal, including the pre-bypass distribution phase. This is the only mode that supports an unqualified 'reproduces the trajectory' claim, and it is where a mono-exponential approximation of a biexponential model is worst (R2).",13,0.00835336611077643,82.97818763932023,16.821053443150305
lanoiselee,reversal_endpoint,"One point per patient: residual heparin at the reversal timepoint t = time to CPB + time on CPB. This is what the submitted analysis calibrated against; with it, the manuscript may claim agreement in residual amount at reversal, NOT reproduction of entire trajectories.",1,0.007028912171821286,98.61372053256734,0.0
lanoiselee,trajectory_cpb,"A grid of timepoints per patient spanning CPB onset to reversal, the window in which the nomogram is actually read. Supports a trajectory claim over that window.",13,0.006904585862601546,100.38939255058777,-1.7687845029300684
lanoiselee,trajectory_full,"A grid of timepoints per patient spanning induction (t = 0) to reversal, including the pre-bypass distribution phase. This is the only mode that supports an unqualified 'reproduces the trajectory' claim, and it is where a mono-exponential approximation of a biexponential model is worst (R2).",13,0.008278321575143145,83.73040045233562,17.77528830607254
meesters,reversal_endpoint,"One point per patient: residual heparin at the reversal timepoint t = time to CPB + time on CPB. This is what the submitted analysis calibrated against; with it, the manuscript may claim agreement in residual amount at reversal, NOT reproduction of entire trajectories.",1,0.003860620813253126,179.54293210574843,0.0
meesters,trajectory_cpb,"A grid of timepoints per patient spanning CPB onset to reversal, the window in which the nomogram is actually read. Supports a trajectory claim over that window.",13,0.004416907175188804,156.9304386683916,14.409246306345409
meesters,trajectory_full,"A grid of timepoints per patient spanning induction (t = 0) to reversal, including the pre-bypass distribution phase. This is the only mode that supports an unqualified 'reproduces the trajectory' claim, and it is where a mono-exponential approximation of a biexponential model is worst (R2).",13,0.005699057205842846,121.62488557744426,47.6202269406659
prodose,reversal_endpoint,"One point per patient: residual heparin at the reversal timepoint t = time to CPB + time on CPB. This is what the submitted analysis calibrated against; with it, the manuscript may claim agreement in residual amount at reversal, NOT reproduction of entire trajectories.",1,0.00549836731652562,126.06418244860734,0.0
prodose,trajectory_cpb,"A grid of timepoints per patient spanning CPB onset to reversal, the window in which the nomogram is actually read. Supports a trajectory claim over that window.",13,0.0060168187132084985,115.2016062970794,9.429188099613627
prodose,trajectory_full,"A grid of timepoints per patient spanning induction (t = 0) to reversal, including the pre-bypass distribution phase. This is the only mode that supports an unqualified 'reproduces the trajectory' claim, and it is where a mono-exponential approximation of a biexponential model is worst (R2).",13,0.007406389758070695,93.58772670647359,34.701618347876064
